2025-10-03 17:25:49,CD VS,Cone Deck Visitor,87.0
2025-10-03 17:25:49,CRI,CRI Deck,87.0
2025-10-03 17:25:49,ED1,East Deck 1,90.999997
2025-10-03 17:25:49,ED2/3,East Deck 2/3,81.0
2025-10-03 17:25:49,NORTH,North Deck,75.0
2025-10-03 17:25:49,SOUTH,South Village Deck,53.0
2025-10-03 17:25:49,UDL,Union Deck Lower,66.999996
2025-10-03 17:25:49,UDU,Union Deck Upper,69.0
2025-10-03 17:25:49,WEST,West Deck,65.999997
2025-10-03 17:25:59,CD FS,Cone Deck Faculty/Staff,96.0
2025-10-03 17:25:59,CD VS,Cone Deck Visitor,87.0
2025-10-03 17:25:59,CRI,CRI Deck,87.0
2025-10-03 17:25:59,ED1,East Deck 1,90.999997
2025-10-03 17:25:59,ED2/3,East Deck 2/3,81.0
2025-10-03 17:25:59,NORTH,North Deck,75.0
2025-10-03 17:25:59,SOUTH,South Village Deck,53.0
2025-10-03 17:25:59,UDL,Union Deck Lower,66.999996
2025-10-03 17:25:59,UDU,Union Deck Upper,69.0
2025-10-03 17:25:59,WEST,West Deck,65.999997
2025-10-03 17:26:09,CD FS,Cone Deck Faculty/Staff,96.0
2025-10-03 17:26:09,CD VS,Cone Deck Visitor,87.0
2025-10-03 17:26:09,CRI,CRI Deck,87.0
2025-10-03 17:26:09,ED1,East Deck 1,90.999997
2025-10-03 17:26:09,ED2/3,East Deck 2/3,81.0
2025-10-03 17:26:09,NORTH,North Deck,75.0
2025-10-03 17:26:09,SOUTH,South Village Deck,53.0
2025-10-03 17:26:09,UDL,Union Deck Lower,66.999996
2025-10-03 17:26:09,UDU,Union Deck Upper,69.0
2025-10-03 17:26:09,WEST,West Deck,65.999997
2025-10-03 17:26:19,CD FS,Cone Deck Faculty/Staff,96.0
2025-10-03 17:26:19,CD VS,Cone Deck Visitor,87.0
2025-10-03 17:26:19,CRI,CRI Deck,87.0
2025-10-03 17:26:19,ED1,East Deck 1,90.999997
2025-10-03 17:26:19,ED2/3,East Deck 2/3,81.0
2025-10-03 17:26:19,NORTH,North Deck,75.0
2025-10-03 17:26:19,SOUTH,South Village Deck,53.0
2025-10-03 17:26:19,UDL,Union Deck Lower,66.999996
2025-10-03 17:26:19,UDU,Union Deck Upper,69.0
2025-10-03 17:26:19,WEST,West Deck,65.999997
2025-10-03 17:26:29,CD FS,Cone Deck Faculty/Staff,96.0
2025-10-03 17:26:29,CD VS,Cone Deck Visitor,87.0
2025-10-03 17:26:29,CRI,CRI Deck,87.0
2025-10-03 17:26:29,ED1,East Deck 1,90.999997
2025-10-03 17:26:29,ED2/3,East Deck 2/3,81.0
2025-10-03 17:26:29,NORTH,North Deck,75.0
2025-10-03 17:26:29,SOUTH,South Village Deck,53.0
2025-10-03 17:26:29,UDL,Union Deck Lower,66.999996
2025-10-03 17:26:29,UDU,Union Deck Upper,69.0
2025-10-03 17:26:29,WEST,West Deck,65.999997
2025-10-03 17:26:39,CD FS,Cone Deck Faculty/Staff,96.99999700000001
2025-10-03 17:26:39,CD VS,Cone Deck Visitor,87.0
2025-10-03 17:26:39,CRI,CRI Deck,87.0
2025-10-03 17:26:39,ED1,East Deck 1,90.999997
2025-10-03 17:26:39,ED2/3,East Deck 2/3,81.0
2025-10-03 17:26:39,NORTH,North Deck,75.0
2025-10-03 17:26:39,SOUTH,South Village Deck,53.0
2025-10-03 17:26:39,UDL,Union Deck Lower,66.999996
2025-10-03 17:26:39,UDU,Union Deck Upper,69.0
2025-10-03 17:26:39,WEST,West Deck,65.999997
2025-10-03 17:26:49,CD FS,Cone Deck Faculty/Staff,96.99999700000001
2025-10-03 17:26:49,CD VS,Cone Deck Visitor,87.0
2025-10-03 17:26:49,CRI,CRI Deck,87.0
2025-10-03 17:26:49,ED1,East Deck 1,90.999997
2025-10-03 17:26:49,ED2/3,East Deck 2/3,81.0
2025-10-03 17:26:49,NORTH,North Deck,75.0
2025-10-03 17:26:49,SOUTH,South Village Deck,53.0
2025-10-03 17:26:49,UDL,Union Deck Lower,66.999996
